ligand_id,seed,group,docking_score_kcal_mol,heavy_atom_count,ligand_efficiency
aec9a4a1f6a3a162,1,baseline,-8.388,19,0.4414736842105263
45e8ea3f05527be9,1,baseline,-8.148,19,0.4288421052631578
e6cb5c30737a2f0d,1,baseline,-6.931,19,0.3647894736842105
de047b8ac0970098,1,baseline,-8.467,19,0.4456315789473684
5633e88fa697c404,1,baseline,-6.592,22,0.2996363636363636
353c016d319d9fd2,1,baseline,-8.838,22,0.4017272727272727
9935f998c1d16b83,1,baseline,-6.823,21,0.3249047619047619
3ae3aed7f14f7824,1,baseline,-6.693,18,0.3718333333333333
bb561e3de63834df,1,baseline,-6.459,19,0.3399473684210526
284e945303022593,1,baseline,-5.892,20,0.2946
e1b2b44c04308a53,1,baseline,-7.949,21,0.3785238095238095
79240878f6f655d2,1,baseline,-8.012,23,0.3483478260869565
9c91de0a46f0501d,1,baseline,-8.502,24,0.35425
028eddef30b21ad4,1,baseline,-6.993,20,0.34965
084e83e85bcecb8f,1,baseline,-6.035,20,0.30175
2fd9d147733e772f,1,baseline,-7.086,19,0.3729473684210526
db1e28f79af57a4a,1,baseline,-7.74,20,0.387
54afd01afc504e36,1,baseline,-7.307,18,0.4059444444444444
3ffdec0dd938149f,1,baseline,-6.305,22,0.286590909090909
a5b1295ec3de5117,1,baseline,-7.784,18,0.4324444444444444
7e7312a0f73a680a,1,baseline,-8.409,23,0.3656086956521739
f4d90d062dbcde0c,1,baseline,-7.567,24,0.3152916666666667
0ab917e778ec7f02,1,baseline,-8.326,19,0.4382105263157895
26989973cde1fd4f,1,baseline,,21,
d13824c32686e692,1,baseline,-9.636,24,0.4014999999999999
a5ffc32fda658bc7,2,baseline,-8.21,30,0.2736666666666666
899b7221bdaaf077,2,baseline,-8.751,33,0.2651818181818182
883b3243e917e0f2,2,baseline,-9.143,31,0.2949354838709677
ecdaa60d467033c6,2,baseline,-9.054,32,0.2829375
5e9fe61eb1f09aa4,2,baseline,-7.916,28,0.2827142857142857
784895c71839bd0e,2,baseline,-10.14,37,0.2740540540540541
502450154b15b833,2,baseline,-9.161,34,0.2694411764705882
43e9ac2e31948843,2,baseline,-8.671,29,0.299
63aa36580c89a7ee,2,baseline,-8.19,28,0.2925
80a9fd9b2908ceb7,2,baseline,-9.586,33,0.2904848484848485
b4e0d24fd4044259,2,baseline,-8.543,31,0.2755806451612902
1731c9d9b679b8ab,2,baseline,-9.996,32,0.312375
f351e5ce87f32e41,2,baseline,-8.232,25,0.3292799999999999
d1e38bdd6ee301e1,2,baseline,-10.62,37,0.287027027027027
d2110f92a57d35fd,2,baseline,-9.06,34,0.2664705882352941
4d16558dc829ae74,2,baseline,-10.56,30,0.352
10a63d14372d7fef,2,baseline,-7.757,30,0.2585666666666666
ffa4e7b4738a777c,2,baseline,-8.247,29,0.2843793103448276
1a4af0bae0836f7e,2,baseline,-7.841,34,0.2306176470588235
ec557e007d4dc451,2,baseline,-8.872,30,0.2957333333333333
79456ad7c0f00709,2,baseline,,36,
525d13461c72876f,2,baseline,-8.149,29,0.2809999999999999
e0adca72a3ee8c16,2,baseline,-9.932,27,0.3678518518518519
38ceed5f4345a06d,2,baseline,-7.828,32,0.244625
