ligand_id,seed,group,docking_score_kcal_mol,heavy_atom_count,ligand_efficiency
74668205301385fb,1,generated,-5.979,20,0.29895
037a671702325a82,1,generated,-4.745,21,0.2259523809523809
0ed5c3dec3b44109,1,generated,-8.349,29,0.2878965517241379
68a5d3c4aa4d10e1,1,generated,-7.434,27,0.2753333333333333
3f09891ff5c3944f,1,generated,-8.441,32,0.26378125
f796316de45c1563,1,generated,-7.822,25,0.31288
fb7b057bdbc95708,1,generated,-6.447,16,0.4029375
422c9862b6f4f35e,1,generated,-9.074,31,0.2927096774193548
2fb71b45bbdaf21b,1,generated,-6.213,19,0.327
c9fd33ddbd67839a,1,generated,-9.578,26,0.3683846153846153
2c6c58aca09715b7,1,generated,-6.23,22,0.2831818181818182
b52e2f1731ebaef9,1,generated,-5.658,21,0.2694285714285714
6a1dd99141fca9fb,1,generated,-8.636,38,0.2272631578947368
5b9fcba7bba01e4c,1,generated,-6.627,17,0.3898235294117647
cd11fcade96c3d72,1,generated,-8.951,28,0.3196785714285714
3efe585a647a29ed,1,generated,-7.431,17,0.4371176470588235
24155f564b5441f1,1,generated,-5.777,23,0.2511739130434782
ebf0751d15426c56,1,generated,-6.724,21,0.3201904761904762
06831e2b083df559,1,generated,,16,
cc63f226a967c99b,1,generated,-8.364,31,0.2698064516129032
920b6797ad94675e,1,generated,,38,
cbe98081ab6eb323,1,generated,-6.867,18,0.3815
fe32c24540492979,1,generated,-8.649,22,0.3931363636363636
dfc777fe117f4a67,1,generated,-8.279,21,0.3942380952380952
1e55b2d38d474194,1,generated,-5.786,15,0.3857333333333333
6480852ca5777380,2,generated,-7.339,26,0.2822692307692308
105abd8ea2a09081,2,generated,-8.69,27,0.3218518518518518
29b85123eb63be59,2,generated,-7.523,18,0.4179444444444444
fc58aebbc4e52db8,2,generated,-9.105,27,0.3372222222222222
b410c4596b056193,2,generated,-6.064,20,0.3032
80192c0ac7f43806,2,generated,-5.487,21,0.2612857142857143
55aa4ed73fc4e6c5,2,generated,-5.746,14,0.4104285714285715
4793c5ac0886f10b,2,generated,,38,
55d07966cb72e9c4,2,generated,-6.056,18,0.3364444444444444
9a731f6ece54c92b,2,generated,-8.028,30,0.2676
2d6fcd2989da320a,2,generated,-6.543,15,0.4362
c4b7c7e6b2ac57ad,2,generated,-6.39,17,0.3758823529411764
a3e2e849cb31c464,2,generated,-7.913,40,0.197825
a14f2f27d296f428,2,generated,-6.791,21,0.3233809523809524
78e88b35646442c6,2,generated,-7.294,28,0.2605
c78adb25bc7eb547,2,generated,-7.061,31,0.2277741935483871
95a5f0793e7fec07,2,generated,,31,
cfa4274a559afe2e,2,generated,-7.424,25,0.29696
1b04f7797aa32694,2,generated,-7.261,28,0.2593214285714286
88d57a4a60b6f689,2,generated,-6.569,20,0.32845
e57d021da27b1b9c,2,generated,-5.613,16,0.3508125
530a5f1c3fba8278,2,generated,-8.514,24,0.3547499999999999
34ab73f6144d81a3,2,generated,-9.627,30,0.3209
bd895d275bb3ba17,2,generated,-6.734,27,0.2494074074074074
5ca4713f0acb0b5a,2,generated,-7.491,23,0.325695652173913
4a7a176f62a4e38e,2,generated,-8.829,24,0.367875
eac1b23655983daa,3,generated,-7.189,19,0.3783684210526316
8c9446abbcc151b5,3,generated,-8.942,32,0.2794375
947e59a90d2cb994,3,generated,-7.683,21,0.3658571428571428
13d1ed7b558e48b3,3,generated,,11,
0e3eda9a352420ed,3,generated,-7.065,25,0.2826
